"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Australia","AUS","Trade (% of GDP)","NE.TRD.GNFS.ZS","27.0268642332249","27.4031890660592","26.5425501996738","26.8078243679118","28.6676082862524","28.4531101716849","28.0349667569564","26.7496226484556","26.7584883681091","25.2619680444811","26.1706569778477","25.5725758477097","24.8343255082556","25.2139327467759","26.3929181240986","29.031306619475","26.917719390941","28.6851139082492","28.2327052412978","29.6884349269756","32.3637417858523","31.6596840073022","30.377003202849","29.2293714641889","28.5799866146855","32.5556783407004","33.0814689742507","32.5670457920576","32.6044154123465","32.1054517616015","32.2151332598629","32.2450197860602","33.0967324521013","35.4280212970315","36.4305130455256","37.6855789579764","38.1723495934652","37.9046238106689","39.9237182597719","38.9587761674718","40.8559140760225","44.0666419278173","41.2807533000631","39.9246744271052","36.6897505158202","38.8264551468557","40.9792900652807","41.3680754800265","42.0872253265796","44.9176513563306","39.8385212268441","41.2245948433186","42.6449363528924","40.6244333168143","41.9023988326604","40.8147476586503","39.9516214021213","",
"Austria","AUT","Trade (% of GDP)","NE.TRD.GNFS.ZS","46.5097584886874","44.9072370695355","45.6180901534569","46.2846929359315","46.9855812470221","48.2393149536368","48.9255425298678","48.3085412151414","49.013881174705","52.7252596626323","54.8372030133037","54.3573863748993","54.2729175612174","54.4335731090126","59.5420231888964","56.5750708568407","59.889973454852","60.2503082321647","59.6421952545337","63.2898364560864","66.7953478901484","68.3666692632726","64.0897826568728","62.4451757774548","66.546452002589","70.0534780547747","63.9875686983372","62.8271749391071","66.5342768889957","70.5083703350867","71.4581549462071","70.0184724905984","67.6010639433031","63.2382041342505","65.9585354302714","68.2272877193231","70.0496129962779","74.8284264789977","76.8842660436052","78.2130715546652","85.3095795595714","87.4679605603136","86.7940454950052","86.1700509862614","90.6179479068676","93.7670222847164","97.7364165220912","100.239768598952","101.48833114545","86.2478068456342","98.2598214025005","104.317446829971","104.493850113591","103.363592748854","101.916480450433","100.749530099537","99.6600904417734","",
"Azerbaijan","AZE","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.0832196452933","86.8637724550898","140.799983402834","133.420761131129","55.3526580466289","69.4108913675134","85.0633599742374","82.046246691237","77.2335799943033","69.861221484048","77.419454865306","78.2409718564226","92.8174579872131","107.561386692787","121.503364477217","115.833445398283","105.265616073205","96.6446391988858","89.2428968637573","74.7440416836369","74.9859884610856","80.5080450059522","78.2628233231039","74.9781719432127","69.4665672552276","72.6015079073189","90.1244502728766","",
"Burundi","BDI","Trade (% of GDP)","NE.TRD.GNFS.ZS","25.8928574435131","27.5862079836929","29.5081958920413","21.8045114655597","26.1744966082609","22.8822529667839","23.7683401950761","22.6863662585732","23.662507797879","21.7532896713333","22.3097965544679","22.6074300410872","26.8094131157561","24.3489043362581","25.2873351845382","27.2774163190328","30.379360630475","34.8870291528506","31.9340935865245","36.8847861616734","32.1014455985716","31.1810462057784","37.1194209891435","33.7933398239583","35.056316693605","31.8135215539913","34.0388589004453","35.4835346628137","38.5439533047301","32.6893093927341","35.6481395516768","38.4225604772107","38.2261314127976","36.5429966027968","38.753523581475","40.2046264145201","21.5737222729","24.2753792298716","27.4400299850075","23.5397452788757","22.5537244890286","20.9640456147222","21.6738294069666","27.3763120796107","31.5761181816532","41.646805693479","54.1517904863709","41.4823120441688","47.4179182584123","49.9258729032171","48.0956962350074","47.0192045511925","46.4189800438818","41.6411735610248","41.3070022873188","35.9932017275593","38.1563092482199","",
"Belgium","BEL","Trade (% of GDP)","NE.TRD.GNFS.ZS","76.3013658733824","78.8184721341105","81.1576432460471","84.3825837561852","85.3268781038424","83.9900692062356","88.0357457342498","84.9542938596995","89.2725658349821","96.4912899323802","87.0758025041546","84.9490549800667","84.5787180649479","93.4462479046126","104.495768978865","90.8501180613793","96.1032781185445","94.9763496102847","91.6365514233163","100.831741990439","102.306683920574","109.417686161341","117.06390427629","119.509460317824","127.286436050737","122.963339106446","111.494554813514","109.105628431747","115.55989903239","124.011913158749","120.56967271465","117.712773234039","114.215711339517","108.201663534969","112.388936950299","115.511365408443","118.060093802792","124.366693263271","123.484495687655","123.99724026107","141.079071496619","138.694465221206","135.124884981773","131.990312645394","136.037833248748","143.376220942029","147.693901435153","151.163621858795","158.908045084263","136.356757863313","151.100176526737","162.753665660528","163.994977033554","162.218643125169","164.615444572186","160.172836053048","164.400479945084","",
"Benin","BEN","Trade (% of GDP)","NE.TRD.GNFS.ZS","18.2341998166072","14.1181216852278","13.4771276576628","15.447259020027","17.3805034251725","22.1732736350777","23.0426078397633","27.4380883208416","28.4112293667841","33.2017249500644","39.6379034467417","45.6184127164884","41.1845516067007","41.6121426133332","43.8114045020463","47.9412279615522","44.0197577086964","50.9596855186593","51.0704526504407","54.5381681535616","53.1386195994861","59.8893720979652","57.8573353739462","45.3420118908271","50.5113034919755","60.3012179781571","49.2914176982042","46.2181352147978","45.8868280290306","38.3003673589405","45.7201821451396","51.3447168355486","56.7407458048553","55.3817991336605","64.4004792535565","63.800140010475","56.5177914456367","58.7116296113966","59.5936252981433","64.6700078497675","55.99169035644","57.2759199877844","51.4842649131048","48.7223543924575","46.3702587289626","45.8165601073487","46.8518725129235","57.8049632995456","56.4979180363796","52.7005251850084","60.9929899774057","55.5787589498807","59.6693976598352","69.4615146558203","76.5308886342327","68.018027203948","70.2032178816961","",
"Burkina Faso","BFA","Trade (% of GDP)","NE.TRD.GNFS.ZS","20.7013700595553","21.2188624397492","21.2379483918704","21.2485012803128","14.3172756393415","16.0292171246163","16.7002191862921","18.8558132843739","21.4921288241186","22.3496083648567","21.5970104218475","25.442556614231","27.688726861213","29.231336311371","32.7936788935997","37.4993707069501","35.2134956783333","38.4035337580082","35.2192484844596","37.5285780653351","40.213028682332","40.7115242526657","39.8197514428109","37.4582972460124","39.7187056640872","40.9475469828696","37.9617294229875","39.4399463300075","38.1296822765951","32.3947599439306","35.4226504401749","33.7962364263647","28.3740163771975","29.6250839534616","39.2292222386411","40.7474714183407","38.1802977691941","37.4164187803511","40.9397835752562","33.6863261234128","34.5123824969857","32.3692329044732","30.8729064656754","30.7325181469586","37.1285844672402","35.5357195534817","36.7782443294111","35.4245345810243","36.3105384865982","40.4208553601654","48.8668309061283","58.1539870387695","62.6790476334154","67.2680508872433","60.8645087365644","62.3343770669398","","",
"Bangladesh","BGD","Trade (% of GDP)","NE.TRD.GNFS.ZS","19.3039436708071","22.4823523745223","21.554848275691","21.6397630631354","24.1502678104311","23.0293137134448","22.9361029749964","21.9018601093214","19.9371403769383","19.8113211700256","20.8205969538367","17.0190718372794","19.4072895559385","18.3946565109774","14.0496210654104","10.9956261323865","22.3822749296616","19.4221981983695","21.0385149611892","21.9070635430834","23.377231112235","19.2471590909091","20.6069241937352","20.3168806212371","16.8117271749034","18.2221846249994","17.0187425082782","16.6877976312963","17.6780643099612","18.3251740190693","18.9665020125385","18.8898268850747","19.9340055024511","23.1215830698982","22.8658645545703","28.2094960764218","26.0760877233809","26.3255133900833","27.8800634028394","28.3879405571158","29.3217143619038","32.0980170730117","28.9673807211649","27.657884900158","26.8582341492431","34.396934864465","38.1119244325921","39.9423826531735","42.6209140325589","40.092796223023","37.8028426708321","47.4208498356898","48.1109227476789","46.2964027239758","44.5140801968096","42.0859990835216","37.9543007335199","",
"Bulgaria","BGR","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","66.3964173548912","70.1610468042275","67.4993968221142","74.0878629932986","78.3773116646511","85.9973677186588","83.5035643944016","83.4076531631779","91.4617513059035","94.578970772527","69.847060845197","82.6823876197495","100.049800796813","84.0414854466377","90.7201293759513","101.827166456687","104.368007570909","87.3932411117173","79.1500960073253","90.9577696695834","78.3236193652845","79.3504901544108","75.4651411223633","79.2771072987398","93.2895451373716","99.8734424462008","111.291414173686","122.613849163251","124.844857942792","92.9411023225034","103.207384762541","117.761966915699","124.776324554891","129.714842447284","130.967908582605","128.066637324589","123.643921856923","",
"Bahrain","BHR","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","239.348924963302","251.13888334995","225.758688357164","189.632583309598","190.330268981954","191.610232321025","183.523568876884","189.767930827029","172.832411464694","186.273821160598","210.160965794769","180.64181022066","181.124037169727","164.603897100189","155.17817162615","152.464315379845","164.115419261449","148.582078139234","128.48910154402","141.831698808263","135.809015765396","127.02611196662","130.607523233005","128.091486797096","140.737233188148","148.313492997025","147.10185544489","137.785050572304","145.882662049033","117.963725409489","120.472394522656","174.158964879852","185.888975188856","191.877804995067","175.564650647056","154.067392842373","139.439125968132","",
